"Fap","sumeffsal","libelle","code_domaine","libelle_domaine","code_fap_agregee","libelle_fap_agregee"
"A1Z00",0,"Maraîchers, horticulteurs indépendants","A","Agriculture, marine, pêche","A1Z","Maraîchers, jardiniers, viticulteurs"
"A1Z40",32.82586,"Maraîchers, horticulteurs salariés","A","Agriculture, marine, pêche","A1Z","Maraîchers, jardiniers, viticulteurs"
"A1Z",230.75052,"Maraîchers, jardiniers, viticulteurs","A","Agriculture, marine, pêche","A1Z","Maraîchers, jardiniers, viticulteurs"
"A3Z41",3.55518,"Marins salariés","A","Agriculture, marine, pêche","A3Z","Marins, pêcheurs, aquaculteurs"
"A3Z",17.85739,"Marins, pêcheurs, aquaculteurs","A","Agriculture, marine, pêche","A3Z","Marins, pêcheurs, aquaculteurs"
"A3Z00",0,"Marins, pêcheurs, aquaculteurs indépendants","A","Agriculture, marine, pêche","A3Z","Marins, pêcheurs, aquaculteurs"
"F",216.41602,"Matériaux souples, bois, industries graphiques","F","Matériaux souples, bois, industries graphiques",NA,NA
"B2Z40",166.53541,"Maçons","B","Bâtiment, travaux publics","B2Z","Ouvriers qualifiés du gros œuvre du bâtiment"
"S2Z80",50.57552,"Maîtres d'hôtel","S","Hôtellerie, restauration, alimentation","S2Z","Employés et agents de maîtrise de l'hôtellerie et de la restauration"
"S2Z81",21.11777,"Maîtrise de l'hôtellerie","S","Hôtellerie, restauration, alimentation","S2Z","Employés et agents de maîtrise de l'hôtellerie et de la restauration"
"R3Z80",195.36365,"Maîtrise des magasins","R","Commerce","R3Z","Maîtrise des magasins et intermédiaires du commerce"
"R3Z",293.95583,"Maîtrise des magasins et intermédiaires du commerce","R","Commerce","R3Z","Maîtrise des magasins et intermédiaires du commerce"
"B4Z42",47.80656,"Menuisiers et ouvriers de l'agencement et de l'isolation","B","Bâtiment, travaux publics","B4Z","Ouvriers qualifiés du second œuvre du bâtiment"
"D4Z40",102.44581,"Monteurs, ajusteurs et autres ouvriers qualifiés de la mécanique","D","Mécanique, travail des métaux","D4Z","Ouvriers qualifiés de la mécanique"
"G0B41",82.19202,"Mécaniciens et électroniciens de véhicules","G","Maintenance","G0B","Ouvriers qualifiés de la réparation automobile"
"D",776.63058,"Mécanique, travail des métaux","D","Mécanique, travail des métaux",NA,NA
"V2Z90",152.71092,"Médecins","V","Santé, action sociale, culturelle et sportive","V2Z","Médecins et assimilés"
"V2Z",208.61855,"Médecins et assimilés","V","Santé, action sociale, culturelle et sportive","V2Z","Médecins et assimilés"
"ZZZ",80.5194,"Non renseigné ou autre","Z","Non renseigné ou autre","ZZZ","Non renseigné ou autre"
"Z",80.5194,"Non renseigné ou autre","Z","Non renseigné ou autre",NA,NA
"ZZZZZ",80.5194,"Non renseigné ou autre","Z","Non renseigné ou autre","ZZZ","Non renseigné ou autre"
"T4Z62",59.54811,"Ouvriers de l'assainissement et du traitement des déchets","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"F4Z",41.49476,"Ouvriers des industries graphiques","F","Matériaux souples, bois, industries graphiques","F4Z","Ouvriers des industries graphiques"
"J0Z20",373.21985,"Ouvriers non qualifiés de l'emballage et manutentionnaires","J","Transports, logistique et tourisme","J0Z","Ouvriers non qualifiés de la manutention"
"F4Z20",6.74164,"Ouvriers non qualifiés de l'imprimerie, de la presse et de l'édition","F","Matériaux souples, bois, industries graphiques","F4Z","Ouvriers des industries graphiques"
"C0Z",27.64904,"Ouvriers non qualifiés de l'électricité et de l'électronique","C","Électricité, électronique","C0Z","Ouvriers non qualifiés de l'électricité et de l'électronique"
"C0Z20",27.64904,"Ouvriers non qualifiés de l'électricité et de l'électronique","C","Électricité, électronique","C0Z","Ouvriers non qualifiés de l'électricité et de l'électronique"
"J0Z",373.21985,"Ouvriers non qualifiés de la manutention","J","Transports, logistique et tourisme","J0Z","Ouvriers non qualifiés de la manutention"
"D3Z",138.95493,"Ouvriers non qualifiés de la mécanique","D","Mécanique, travail des métaux","D3Z","Ouvriers non qualifiés de la mécanique"
"E0Z21",96.37036,"Ouvriers non qualifiés des industries agro-alimentaires","E","Industries de process","E0Z","Ouvriers non qualifiés des industries de process"
"E0Z20",45.49803,"Ouvriers non qualifiés des industries chimiques et plastiques","E","Industries de process","E0Z","Ouvriers non qualifiés des industries de process"
"E0Z",188.79669,"Ouvriers non qualifiés des industries de process","E","Industries de process","E0Z","Ouvriers non qualifiés des industries de process"
"B0Z20",90.32717,"Ouvriers non qualifiés des travaux publics, du béton et de l'extraction","B","Bâtiment, travaux publics","B0Z","Ouvriers non qualifiés du gros œuvre du bâtiment, des travaux publics, du béton et de l'extraction"
"K0Z20",44.00736,"Ouvriers non qualifiés divers de type artisanal","K","Artisanat","K0Z","Artisans et ouvriers artisanaux"
"B0Z21",76.46785,"Ouvriers non qualifiés du gros œuvre du bâtiment","B","Bâtiment, travaux publics","B0Z","Ouvriers non qualifiés du gros œuvre du bâtiment, des travaux publics, du béton et de l'extraction"
"B0Z",166.79501,"Ouvriers non qualifiés du gros œuvre du bâtiment, des travaux publics, du béton et de l'extraction","B","Bâtiment, travaux publics","B0Z","Ouvriers non qualifiés du gros œuvre du bâtiment, des travaux publics, du béton et de l'extraction"
"E0Z23",2.90748,"Ouvriers non qualifiés du papier-carton et du bois","E","Industries de process","E0Z","Ouvriers non qualifiés des industries de process"
"B3Z",101.59569,"Ouvriers non qualifiés du second œuvre du bâtiment","B","Bâtiment, travaux publics","B3Z","Ouvriers non qualifiés du second œuvre du bâtiment"
"B3Z20",101.59569,"Ouvriers non qualifiés du second œuvre du bâtiment","B","Bâtiment, travaux publics","B3Z","Ouvriers non qualifiés du second œuvre du bâtiment"
"F0Z",17.4613,"Ouvriers non qualifiés du textile et du cuir","F","Matériaux souples, bois, industries graphiques","F0Z","Ouvriers non qualifiés du textile et du cuir"
"F0Z20",17.4613,"Ouvriers non qualifiés du textile et du cuir","F","Matériaux souples, bois, industries graphiques","F0Z","Ouvriers non qualifiés du textile et du cuir"
"F2Z",22.60475,"Ouvriers non qualifiés du travail du bois et de l'ameublement","F","Matériaux souples, bois, industries graphiques","F2Z","Ouvriers non qualifiés du travail du bois et de l'ameublement"
"F2Z20",22.60475,"Ouvriers non qualifiés du travail du bois et de l'ameublement","F","Matériaux souples, bois, industries graphiques","F2Z","Ouvriers non qualifiés du travail du bois et de l'ameublement"
"E0Z22",23.12796,"Ouvriers non qualifiés en métallurgie, verre, céramique et matériaux de construction","E","Industries de process","E0Z","Ouvriers non qualifiés des industries de process"
"D3Z20",138.95493,"Ouvriers non qualifiés métallerie, serrurerie, montage","D","Mécanique, travail des métaux","D3Z","Ouvriers non qualifiés de la mécanique"
"D0Z",40.3803,"Ouvriers non qualifiés travaillant par enlèvement ou formage de métal","D","Mécanique, travail des métaux","D0Z","Ouvriers non qualifiés travaillant par enlèvement ou formage de métal"
"D0Z20",40.3803,"Ouvriers non qualifiés travaillant par enlèvement ou formage de métal","D","Mécanique, travail des métaux","D0Z","Ouvriers non qualifiés travaillant par enlèvement ou formage de métal"
"F4Z41",34.75313,"Ouvriers qualifiés de l'impression et du façonnage des industries graphiques","F","Matériaux souples, bois, industries graphiques","F4Z","Ouvriers des industries graphiques"
"C1Z",46.43587,"Ouvriers qualifiés de l'électricité et de l'électronique","C","Électricité, électronique","C1Z","Ouvriers qualifiés de l'électricité et de l'électronique"
"C1Z40",46.43587,"Ouvriers qualifiés de l'électricité et de l'électronique","C","Électricité, électronique","C1Z","Ouvriers qualifiés de l'électricité et de l'électronique"
"G0A",191.19277,"Ouvriers qualifiés de la maintenance","G","Maintenance","G0A","Ouvriers qualifiés de la maintenance"
"G0A40",88.38515,"Ouvriers qualifiés de la maintenance en mécanique","G","Maintenance","G0A","Ouvriers qualifiés de la maintenance"
"G0A41",32.39739,"Ouvriers qualifiés de la maintenance en électricité et en électronique","G","Maintenance","G0A","Ouvriers qualifiés de la maintenance"
"J1Z",491.46468,"Ouvriers qualifiés de la manutention","J","Transports, logistique et tourisme","J1Z","Ouvriers qualifiés de la manutention"
"D4Z",121.012,"Ouvriers qualifiés de la mécanique","D","Mécanique, travail des métaux","D4Z","Ouvriers qualifiés de la mécanique"
"B4Z44",69.36866,"Ouvriers qualifiés de la peinture et de la finition du bâtiment","B","Bâtiment, travaux publics","B4Z","Ouvriers qualifiés du second œuvre du bâtiment"
"G0B",114.93224,"Ouvriers qualifiés de la réparation automobile","G","Maintenance","G0B","Ouvriers qualifiés de la réparation automobile"
"E1Z",301.79897,"Ouvriers qualifiés des industries de process","E","Industries de process","E1Z","Ouvriers qualifiés des industries de process"
"E1Z44",6.04518,"Ouvriers qualifiés des industries lourdes du bois et de la fabrication de papier-carton","E","Industries de process","E1Z","Ouvriers qualifiés des industries de process"
"B1Z",80.55131,"Ouvriers qualifiés des travaux publics, du béton et de l'extraction","B","Bâtiment, travaux publics","B1Z","Ouvriers qualifiés des travaux publics, du béton et de l'extraction"
"B1Z40",80.55131,"Ouvriers qualifiés des travaux publics, du béton et de l'extraction","B","Bâtiment, travaux publics","B1Z","Ouvriers qualifiés des travaux publics, du béton et de l'extraction"
"B2Z",240.99158,"Ouvriers qualifiés du gros œuvre du bâtiment","B","Bâtiment, travaux publics","B2Z","Ouvriers qualifiés du gros œuvre du bâtiment"
"J1Z40",393.71358,"Ouvriers qualifiés du magasinage et de la manutention","J","Transports, logistique et tourisme","J1Z","Ouvriers qualifiés de la manutention"
"B4Z",267.64001,"Ouvriers qualifiés du second œuvre du bâtiment","B","Bâtiment, travaux publics","B4Z","Ouvriers qualifiés du second œuvre du bâtiment"
"F1Z",50.64284,"Ouvriers qualifiés du textile et du cuir","F","Matériaux souples, bois, industries graphiques","F1Z","Ouvriers qualifiés du textile et du cuir"
"F1Z41",26.70646,"Ouvriers qualifiés du travail artisanal du textile et du cuir","F","Matériaux souples, bois, industries graphiques","F1Z","Ouvriers qualifiés du textile et du cuir"
"F3Z",56.9616,"Ouvriers qualifiés du travail du bois et de l'ameublement","F","Matériaux souples, bois, industries graphiques","F3Z","Ouvriers qualifiés du travail du bois et de l'ameublement"
"F3Z41",56.9616,"Ouvriers qualifiés du travail du bois et de l'ameublement","F","Matériaux souples, bois, industries graphiques","F3Z","Ouvriers qualifiés du travail du bois et de l'ameublement"
"F1Z40",23.93639,"Ouvriers qualifiés du travail industriel du textile et du cuir","F","Matériaux souples, bois, industries graphiques","F1Z","Ouvriers qualifiés du textile et du cuir"
"G0A43",66.57357,"Ouvriers qualifiés polyvalents d'entretien du bâtiment","G","Maintenance","G0A","Ouvriers qualifiés de la maintenance"
"D1Z",103.26377,"Ouvriers qualifiés travaillant par enlèvement de métal","D","Mécanique, travail des métaux","D1Z","Ouvriers qualifiés travaillant par enlèvement de métal"
"D1Z41",80.6562,"Ouvriers qualifiés travaillant par enlèvement de métal","D","Mécanique, travail des métaux","D1Z","Ouvriers qualifiés travaillant par enlèvement de métal"
"D2Z",123.99734,"Ouvriers qualifiés travaillant par formage de métal","D","Mécanique, travail des métaux","D2Z","Ouvriers qualifiés travaillant par formage de métal"
"S3Z00",0,"Patrons d'hôtels, cafés, restaurants","S","Hôtellerie, restauration, alimentation","S3Z","Patrons et cadres d'hôtels, cafés, restaurants"
"S3Z",53.37932,"Patrons et cadres d'hôtels, cafés, restaurants","S","Hôtellerie, restauration, alimentation","S3Z","Patrons et cadres d'hôtels, cafés, restaurants"
"N0Z",333.35551,"Personnels d'études et de recherche","N","Études et recherche","N0Z","Personnels d'études et de recherche"
"J6Z91",18.21565,"Personnels navigants de l'aviation","J","Transports, logistique et tourisme","J6Z","Cadres des transports, de la logistique et navigants de l'aviation"
"V2Z93",42.3498,"Pharmaciens","V","Santé, action sociale, culturelle et sportive","V2Z","Médecins et assimilés"
"U1Z81",4.21651,"Photographes","U","Communication, information, art et spectacle","U1Z","Professionnels des arts et des spectacles"
"E1Z40",34.20416,"Pilotes d'installation lourde des industries de transformation","E","Industries de process","E1Z","Ouvriers qualifiés des industries de process"
"B4Z41",70.80303,"Plombiers, chauffagistes","B","Bâtiment, travaux publics","B4Z","Ouvriers qualifiés du second œuvre du bâtiment"
"X",41.75395,"Politique, religion","X","Politique, religion",NA,NA
"W0Z80",395.52008,"Professeurs des écoles","W","Enseignement, formation","W0Z","Enseignants"
"W0Z90",500.71142,"Professeurs du secondaire","W","Enseignement, formation","W0Z","Enseignants"
"W0Z92",124.16413,"Professeurs du supérieur","W","Enseignement, formation","W0Z","Enseignants"
"V5Z",378.15096,"Professionnels de l'action culturelle, sportive et surveillants","V","Santé, action sociale, culturelle et sportive","V5Z","Professionnels de l'action culturelle, sportive et surveillants"
"V4Z85",94.66703,"Professionnels de l'action sociale","V","Santé, action sociale, culturelle et sportive","V4Z","Professionnels de l'action sociale et de l'orientation"
"V4Z",356.5742,"Professionnels de l'action sociale et de l'orientation","V","Santé, action sociale, culturelle et sportive","V4Z","Professionnels de l'action sociale et de l'orientation"
"V5Z81",187.7393,"Professionnels de l'animation socioculturelle","V","Santé, action sociale, culturelle et sportive","V5Z","Professionnels de l'action culturelle, sportive et surveillants"
"V4Z80",0,"Professionnels de l'orientation","V","Santé, action sociale, culturelle et sportive","V4Z","Professionnels de l'action sociale et de l'orientation"
"U0Z",173.4823,"Professionnels de la communication et de l'information","U","Communication, information, art et spectacle","U0Z","Professionnels de la communication et de l'information"
"X0Z00",0,"Professionnels de la politique","X","Politique, religion","X0Z","Professionnels de la politique et clergé"
"X0Z",41.75395,"Professionnels de la politique et clergé","X","Politique, religion","X0Z","Professionnels de la politique et clergé"
"U1Z",269.40975,"Professionnels des arts et des spectacles","U","Communication, information, art et spectacle","U1Z","Professionnels des arts et des spectacles"
"U1Z80",100.52743,"Professionnels des spectacles","U","Communication, information, art et spectacle","U1Z","Professionnels des arts et des spectacles"
"P3Z90",8.54582,"Professionnels du droit","P","Administration publique, professions juridiques, armée et police","P3Z","Professionnels du droit (hors juristes en entreprise)"
"P3Z",17.8561,"Professionnels du droit (hors juristes en entreprise)","P","Administration publique, professions juridiques, armée et police","P3Z","Professionnels du droit (hors juristes en entreprise)"
"B2Z41",8.74139,"Professionnels du travail de la pierre et des matériaux associés","B","Bâtiment, travaux publics","B2Z","Ouvriers qualifiés du gros œuvre du bâtiment"
"P1Z",396.99451,"Professions intermédiaires administratives de la fonction publique (catégorie B et assimilés)","P","Administration publique, professions juridiques, armée et police","P1Z","Professions intermédiaires administratives de la fonction publique (catégorie B et assimilés)"
"R3Z82",98.59219,"Professions intermédiaires commerciales","R","Commerce","R3Z","Maîtrise des magasins et intermédiaires du commerce"
"P1Z82",15.82419,"Professions intermédiaires de la Poste et des télécommunications","P","Administration publique, professions juridiques, armée et police","P1Z","Professions intermédiaires administratives de la fonction publique (catégorie B et assimilés)"
"V3Z",263.08616,"Professions para-médicales","V","Santé, action sociale, culturelle et sportive","V3Z","Professions para-médicales"
"V3Z90",0,"Psychologues, psychothérapeutes","V","Santé, action sociale, culturelle et sportive","V3Z","Professions para-médicales"
"A3Z40",10.04099,"Pêcheurs, aquaculteurs salariés","A","Agriculture, marine, pêche","A3Z","Marins, pêcheurs, aquaculteurs"
"R2Z83",93.61061,"Représentants auprès des particuliers","R","Commerce","R2Z","Attachés commerciaux et représentants"
"J4Z80",80.64075,"Responsables logistiques (non cadres)","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J1Z80",97.75111,"Responsables magasinage","J","Transports, logistique et tourisme","J1Z","Ouvriers qualifiés de la manutention"
"D1Z40",22.60757,"Régleurs","D","Mécanique, travail des métaux","D1Z","Ouvriers qualifiés travaillant par enlèvement de métal"
"V1Z81",19.05264,"Sages-femmes","V","Santé, action sociale, culturelle et sportive","V1Z","Infirmiers, sages-femmes"
"V",2465.33713,"Santé, action sociale, culturelle et sportive","V","Santé, action sociale, culturelle et sportive",NA,NA
"L0Z",378.40516,"Secrétaires","L","Gestion, administration des entreprises","L0Z","Secrétaires"
"L0Z60",378.40516,"Secrétaires bureautiques et assimilés","L","Gestion, administration des entreprises","L0Z","Secrétaires"
"L3Z",135.32424,"Secrétaires de direction","L","Gestion, administration des entreprises","L3Z","Secrétaires de direction"
"L3Z80",135.32424,"Secrétaires de direction","L","Gestion, administration des entreprises","L3Z","Secrétaires de direction"
"S2Z61",242.15327,"Serveurs de cafés restaurants","S","Hôtellerie, restauration, alimentation","S2Z","Employés et agents de maîtrise de l'hôtellerie et de la restauration"
"T",2751.84515,"Services aux particuliers et aux collectivités","T","Services aux particuliers et aux collectivités",NA,NA
"D2Z42",42.16861,"Soudeurs","D","Mécanique, travail des métaux","D2Z","Ouvriers qualifiés travaillant par formage de métal"
"V5Z82",78.94093,"Sportifs et animateurs sportifs","V","Santé, action sociale, culturelle et sportive","V5Z","Professionnels de l'action culturelle, sportive et surveillants"
"V3Z71",35.85641,"Spécialistes de l'appareillage médical","V","Santé, action sociale, culturelle et sportive","V3Z","Professions para-médicales"
"V5Z84",111.47073,"Surveillants d'établissements scolaires","V","Santé, action sociale, culturelle et sportive","V5Z","Professionnels de l'action culturelle, sportive et surveillants"
"T2Z",978.92639,"T2Z","T","Services aux particuliers et aux collectivités","T2Z","T2Z"
"T2Z60",978.92639,"T2Z60","T","Services aux particuliers et aux collectivités","T2Z","T2Z"
"M1Z80",73.75433,"Techniciens d'étude et de développement en informatique","M","Informatique et télécommunications","M1Z","Techniciens de l'informatique"
"M1Z",168.06474,"Techniciens de l'informatique","M","Informatique et télécommunications","M1Z","Techniciens de l'informatique"
"Q1Z80",74.16537,"Techniciens de la banque","Q","Banque et assurances","Q1Z","Techniciens de la banque et des assurances"
"Q1Z",175.59327,"Techniciens de la banque et des assurances","Q","Banque et assurances","Q1Z","Techniciens de la banque et des assurances"
"M1Z81",94.31041,"Techniciens de production, d'exploitation, d'installation, et de maintenance, support et services aux utilisateurs en informatique","M","Informatique et télécommunications","M1Z","Techniciens de l'informatique"
"Q1Z81",101.42789,"Techniciens des assurances","Q","Banque et assurances","Q1Z","Techniciens de la banque et des assurances"
"E2Z70",137.80845,"Techniciens des industries de process","E","Industries de process","E2Z","Techniciens et agents de maîtrise des industries de process"
"L4Z80",289.63684,"Techniciens des services administratifs","L","Gestion, administration des entreprises","L4Z","Techniciens des services administratifs, comptables et financiers"
"L4Z",437.06857,"Techniciens des services administratifs, comptables et financiers","L","Gestion, administration des entreprises","L4Z","Techniciens des services administratifs, comptables et financiers"
"L4Z81",147.43172,"Techniciens des services comptables et financiers","L","Gestion, administration des entreprises","L4Z","Techniciens des services administratifs, comptables et financiers"
"J5Z80",65.81249,"Techniciens des transports et du tourisme","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"D6Z70",143.47124,"Techniciens en mécanique et travail des métaux","D","Mécanique, travail des métaux","D6Z","Techniciens et agents de maîtrise des industries mécaniques"
"C2Z70",102.97938,"Techniciens en électricité et en électronique","C","Électricité, électronique","C2Z","Techniciens et agents de maîtrise de l'électricité et de l'électronique"
"A2Z70",49.37492,"Techniciens et agents d'encadrement d'exploitations agricoles","A","Agriculture, marine, pêche","A2Z","Techniciens et cadres de l'agriculture"
"C2Z",121.77429,"Techniciens et agents de maîtrise de l'électricité et de l'électronique","C","Électricité, électronique","C2Z","Techniciens et agents de maîtrise de l'électricité et de l'électronique"
"G1Z",453.59597,"Techniciens et agents de maîtrise de la maintenance","G","Maintenance","G1Z","Techniciens et agents de maîtrise de la maintenance"
"G1Z70",270.83013,"Techniciens et agents de maîtrise de la maintenance et de l'environnement","G","Maintenance","G1Z","Techniciens et agents de maîtrise de la maintenance"
"E2Z",217.16418,"Techniciens et agents de maîtrise des industries de process","E","Industries de process","E2Z","Techniciens et agents de maîtrise des industries de process"
"D6Z",249.02225,"Techniciens et agents de maîtrise des industries mécaniques","D","Mécanique, travail des métaux","D6Z","Techniciens et agents de maîtrise des industries mécaniques"
"F5Z",27.25076,"Techniciens et agents de maîtrise des matériaux souples, du bois et des industries graphiques","F","Matériaux souples, bois, industries graphiques","F5Z","Techniciens et agents de maîtrise des matériaux souples, du bois et des industries graphiques"
"F5Z70",27.25076,"Techniciens et agents de maîtrise des matériaux souples, du bois et des industries graphiques","F","Matériaux souples, bois, industries graphiques","F5Z","Techniciens et agents de maîtrise des matériaux souples, du bois et des industries graphiques"
"B6Z",263.62607,"Techniciens et agents de maîtrise du bâtiment et des travaux publics","B","Bâtiment, travaux publics","B6Z","Techniciens et agents de maîtrise du bâtiment et des travaux publics"
"A2Z",63.07448,"Techniciens et cadres de l'agriculture","A","Agriculture, marine, pêche","A2Z","Techniciens et cadres de l'agriculture"
"B6Z71",138.16375,"Techniciens et chargés d'études du bâtiment et des travaux publics","B","Bâtiment, travaux publics","B6Z","Techniciens et agents de maîtrise du bâtiment et des travaux publics"
"G1Z71",161.35205,"Techniciens experts","G","Maintenance","G1Z","Techniciens et agents de maîtrise de la maintenance"
"V3Z70",143.59931,"Techniciens médicaux et préparateurs","V","Santé, action sociale, culturelle et sportive","V3Z","Professions para-médicales"
"Ensemble",22916.93055,"Tous métiers","Y","Tous métiers",NA,NA
"J",1985.63958,"Transports, logistique et tourisme","J","Transports, logistique et tourisme",NA,NA
"D2Z41",11.05766,"Tuyauteurs","D","Mécanique, travail des métaux","D2Z","Ouvriers qualifiés travaillant par formage de métal"
"R1Z67",64.60817,"Télévendeurs","R","Commerce","R1Z","Vendeurs"
"R1Z",829.85517,"Vendeurs","R","Commerce","R1Z","Vendeurs"
"R1Z61",115.62483,"Vendeurs en ameublement, équipement du foyer, bricolage","R","Commerce","R1Z","Vendeurs"
"R1Z63",49.79568,"Vendeurs en gros de matériel et équipements","R","Commerce","R1Z","Vendeurs"
"R1Z62",245.1985,"Vendeurs en habillement et accessoires, articles de luxe, de sport, de loisirs et culturels","R","Commerce","R1Z","Vendeurs"
"R1Z60",178.88934,"Vendeurs en produits alimentaires","R","Commerce","R1Z","Vendeurs"
"R1Z66",175.73865,"Vendeurs généralistes","R","Commerce","R1Z","Vendeurs"
"A1Z01",0,"Viticulteurs, arboriculteurs indépendants","A","Agriculture, marine, pêche","A1Z","Maraîchers, jardiniers, viticulteurs"
"A1Z42",63.09133,"Viticulteurs, arboriculteurs salariés","A","Agriculture, marine, pêche","A1Z","Maraîchers, jardiniers, viticulteurs"
"V2Z92",0,"Vétérinaires","V","Santé, action sociale, culturelle et sportive","V2Z","Médecins et assimilés"
"U1Z92",1.3861,"Écrivains","U","Communication, information, art et spectacle","U1Z","Professionnels des arts et des spectacles"
"B4Z43",79.66174,"Électriciens du bâtiment","B","Bâtiment, travaux publics","B4Z","Ouvriers qualifiés du second œuvre du bâtiment"
"C",195.85921,"Électricité, électronique","C","Électricité, électronique",NA,NA
"A0Z01",0,"Éleveurs indépendants","A","Agriculture, marine, pêche","A0Z","Agriculteurs, éleveurs, sylviculteurs, bûcherons"
"A0Z41",40.63477,"Éleveurs salariés","A","Agriculture, marine, pêche","A0Z","Agriculteurs, éleveurs, sylviculteurs, bûcherons"
"N",333.35551,"Études et recherche","N","Études et recherche",NA,NA
