Fap3;Annee;Part
A0Z;2007;90.54
A1Z;2007;94.23
A2Z;2007;66.72
A3Z;2007;84.17
B0Z;2007;70.87
B1Z;2007;27.47
B2Z;2007;38.56
B3Z;2007;69.98
B4Z;2007;43.72
B5Z;2007;30.96
B6Z;2007;27.95
B7Z;2007;15.41
C0Z;2007;81.95
C1Z;2007;57.19
C2Z;2007;41.31
D0Z;2007;70.96
D1Z;2007;46.91
D2Z;2007;58.35
D3Z;2007;83.52
D4Z;2007;48.53
D6Z;2007;38.24
E0Z;2007;87.05
E1Z;2007;66.57
E2Z;2007;47.08
Ensemble;2007;71.32
F0Z;2007;83.54
F1Z;2007;69.58
F2Z;2007;75.58
F3Z;2007;47.16
F4Z;2007;74.92
F5Z;2007;43.17
G0A;2007;55.26
G0B;2007;34.43
G1Z;2007;49.45
H0Z;2007;19.77
J0Z;2007;86.57
J1Z;2007;63.78
J3Z;2007;49.82
J4Z;2007;66.05
J5Z;2007;76.4
J6Z;2007;51.53
K0Z;2007;75.25
L0Z;2007;59.55
L1Z;2007;51.91
L2Z;2007;77.54
L3Z;2007;44.29
L4Z;2007;45.55
L5Z;2007;25.4
L6Z;2007;10.96
M0Z;2007;71.2
M1Z;2007;49.13
M2Z;2007;11.03
N0Z;2007;35.79
P0Z;2007;71.53
P1Z;2007;75.47
P2Z;2007;38.18
P3Z;2007;8.2
P4Z;2007;92.15
Q0Z;2007;72.51
Q1Z;2007;31.16
Q2Z;2007;9.59
R0Z;2007;83.55
R1Z;2007;75.52
R2Z;2007;23.13
R3Z;2007;44.6
R4Z;2007;14.58
S0Z;2007;66.52
S1Z;2007;59.99
S2Z;2007;69.02
S3Z;2007;23.09
T0Z;2007;65.92
T1Z;2007;82.78
T2A;2007;77.78
T2B;2007;76.84
T3Z;2007;61.53
T4Z;2007;86.5
T6Z;2007;81.76
U0Z;2007;71.74
U1Z;2007;96.74
V0Z;2007;91.34
V1Z;2007;85
V2Z;2007;72.44
V3Z;2007;66.86
V4Z;2007;83.41
V5Z;2007;90.64
W0Z;2007;83.81
W1Z;2007;86.78
X0Z;2007;68.01
ZZZ;2007;71.04
A0Z;2008;91.01
A1Z;2008;93.45
A2Z;2008;49.72
A3Z;2008;87.23
B0Z;2008;72.59
B1Z;2008;35.94
B2Z;2008;54.92
B3Z;2008;85.51
B4Z;2008;50.63
B5Z;2008;41.62
B6Z;2008;31.53
B7Z;2008;22.58
C0Z;2008;73.17
C1Z;2008;53.09
C2Z;2008;32.71
D0Z;2008;72.11
D1Z;2008;50.56
D2Z;2008;53.59
D3Z;2008;84.45
D4Z;2008;47.72
D6Z;2008;35.9
E0Z;2008;89.57
E1Z;2008;68.04
E2Z;2008;40.63
Ensemble;2008;71.77
F0Z;2008;87.91
F1Z;2008;78.2
F2Z;2008;79.73
F3Z;2008;41.15
F4Z;2008;73.75
F5Z;2008;46.18
G0A;2008;59.61
G0B;2008;42.47
G1Z;2008;47.5
H0Z;2008;17.83
J0Z;2008;84.67
J1Z;2008;63.94
J3Z;2008;52.45
J4Z;2008;62.33
J5Z;2008;75.7
J6Z;2008;29.53
K0Z;2008;76.37
L0Z;2008;59.26
L1Z;2008;48.6
L2Z;2008;77
L3Z;2008;43.65
L4Z;2008;40.99
L5Z;2008;23.45
L6Z;2008;10.63
M0Z;2008;70.24
M1Z;2008;43.57
M2Z;2008;10.34
N0Z;2008;35.98
P0Z;2008;72.69
P1Z;2008;87.2
P2Z;2008;73.36
P3Z;2008;5.88
P4Z;2008;64.38
Q0Z;2008;70.78
Q1Z;2008;36.02
Q2Z;2008;11.81
R0Z;2008;83.23
R1Z;2008;74.75
R2Z;2008;21.07
R3Z;2008;48.77
R4Z;2008;15.31
S0Z;2008;66.6
S1Z;2008;60.51
S2Z;2008;69.58
S3Z;2008;25.27
T0Z;2008;64.25
T1Z;2008;82.3
T2A;2008;82.15
T2B;2008;81.6
T3Z;2008;59.84
T4Z;2008;86.38
T6Z;2008;80.19
U0Z;2008;70.6
U1Z;2008;95.83
V0Z;2008;91.83
V1Z;2008;83.73
V2Z;2008;69.42
V3Z;2008;64.03
V4Z;2008;80.85
V5Z;2008;89.02
W0Z;2008;87.34
W1Z;2008;86.56
X0Z;2008;68.24
ZZZ;2008;69.98
A0Z;2009;92.55
A1Z;2009;95.27
A2Z;2009;60.05
A3Z;2009;87.02
B0Z;2009;79.82
B1Z;2009;38.11
B2Z;2009;56.6
B3Z;2009;83.51
B4Z;2009;58.75
B5Z;2009;50.55
B6Z;2009;41.57
B7Z;2009;21.78
C0Z;2009;88.37
C1Z;2009;68
C2Z;2009;44.7
D0Z;2009;85.89
D1Z;2009;51.36
D2Z;2009;60.05
D3Z;2009;83.93
D4Z;2009;55.18
D6Z;2009;43.3
E0Z;2009;91.74
E1Z;2009;78.06
E2Z;2009;45.55
Ensemble;2009;77.25
F0Z;2009;91.16
F1Z;2009;67.3
F2Z;2009;79.23
F3Z;2009;64.88
F4Z;2009;83.02
F5Z;2009;53.69
G0A;2009;71.53
G0B;2009;44.98
G1Z;2009;53.82
H0Z;2009;21.33
J0Z;2009;89.76
J1Z;2009;72.56
J3Z;2009;67.42
J4Z;2009;71.37
J5Z;2009;78.58
J6Z;2009;33.88
K0Z;2009;78.42
L0Z;2009;62.72
L1Z;2009;57.07
L2Z;2009;82.14
L3Z;2009;48.29
L4Z;2009;55.16
L5Z;2009;29.65
L6Z;2009;18.04
M0Z;2009;77.04
M1Z;2009;51.52
M2Z;2009;15.88
N0Z;2009;36.89
P0Z;2009;73.32
P1Z;2009;65.16
P2Z;2009;47.69
P3Z;2009;20.25
P4Z;2009;68.65
Q0Z;2009;77.18
Q1Z;2009;40.16
Q2Z;2009;22.41
R0Z;2009;87.54
R1Z;2009;77.35
R2Z;2009;23.64
R3Z;2009;49.38
R4Z;2009;19.07
S0Z;2009;67.48
S1Z;2009;66.69
S2Z;2009;73.68
S3Z;2009;27.16
T0Z;2009;69.25
T1Z;2009;70.95
T2A;2009;82.34
T2B;2009;62.98
T3Z;2009;67.41
T4Z;2009;88.16
T6Z;2009;88.04
U0Z;2009;76.83
U1Z;2009;96.06
V0Z;2009;92.39
V1Z;2009;85.17
V2Z;2009;75.36
V3Z;2009;66
V4Z;2009;83.23
V5Z;2009;89.89
W0Z;2009;83.51
W1Z;2009;86.92
X0Z;2009;67.83
ZZZ;2009;77.51
A0Z;2010;86.33
A1Z;2010;96.06
A2Z;2010;57.16
A3Z;2010;88.93
B0Z;2010;76.08
B1Z;2010;41.51
B2Z;2010;61.97
B3Z;2010;86.21
B4Z;2010;58.84
B5Z;2010;59.55
B6Z;2010;38.28
B7Z;2010;24.25
C0Z;2010;87.5
C1Z;2010;65.88
C2Z;2010;54.44
D0Z;2010;80.03
D1Z;2010;57.96
D2Z;2010;65.68
D3Z;2010;85.54
D4Z;2010;51.22
D6Z;2010;47.8
E0Z;2010;91.19
E1Z;2010;75.46
E2Z;2010;47.94
Ensemble;2010;77.42
F0Z;2010;92.05
F1Z;2010;79.03
F2Z;2010;87.56
F3Z;2010;67.66
F4Z;2010;81.57
F5Z;2010;50.64
G0A;2010;71.12
G0B;2010;48.54
G1Z;2010;57.08
H0Z;2010;31.89
J0Z;2010;87.65
J1Z;2010;71.03
J3Z;2010;58.69
J4Z;2010;66.82
J5Z;2010;77.08
J6Z;2010;37.7
K0Z;2010;81.92
L0Z;2010;65.02
L1Z;2010;55.75
L2Z;2010;79.47
L3Z;2010;47.5
L4Z;2010;56.17
L5Z;2010;30.51
L6Z;2010;19.39
M0Z;2010;71.08
M1Z;2010;45.14
M2Z;2010;12.18
N0Z;2010;31.34
P0Z;2010;74.05
P1Z;2010;62.95
P2Z;2010;79.97
P3Z;2010;12.06
P4Z;2010;46.71
Q0Z;2010;73.69
Q1Z;2010;49.46
Q2Z;2010;25.24
R0Z;2010;88
R1Z;2010;77
R2Z;2010;24.63
R3Z;2010;50.93
R4Z;2010;16.79
S0Z;2010;67.13
S1Z;2010;65.88
S2Z;2010;72.96
S3Z;2010;26.6
T0Z;2010;67.72
T1Z;2010;72.81
T2A;2010;78.9
T2B;2010;67.06
T3Z;2010;68.82
T4Z;2010;87.79
T6Z;2010;87.06
U0Z;2010;75.74
U1Z;2010;97.8
V0Z;2010;93.6
V1Z;2010;85.99
V2Z;2010;73.45
V3Z;2010;72.52
V4Z;2010;86.09
V5Z;2010;90.13
W0Z;2010;80.15
W1Z;2010;87.5
X0Z;2010;73.57
ZZZ;2010;78.33
A0Z;2011;93.1
A1Z;2011;96.63
A2Z;2011;65.36
A3Z;2011;93.06
B0Z;2011;73.24
B1Z;2011;49.15
B2Z;2011;57.97
B3Z;2011;81.22
B4Z;2011;61.65
B5Z;2011;50.42
B6Z;2011;38.78
B7Z;2011;24.49
C0Z;2011;86.11
C1Z;2011;63.86
C2Z;2011;50.54
D0Z;2011;75.39
D1Z;2011;53.83
D2Z;2011;60.72
D3Z;2011;75.68
D4Z;2011;52.13
D6Z;2011;42.18
E0Z;2011;90.82
E1Z;2011;72.19
E2Z;2011;57.89
Ensemble;2011;78.74
F0Z;2011;83.48
F1Z;2011;75.67
F2Z;2011;80.61
F3Z;2011;56.29
F4Z;2011;84.05
F5Z;2011;64.26
G0A;2011;69.62
G0B;2011;47.52
G1Z;2011;54.57
H0Z;2011;25.97
J0Z;2011;87.96
J1Z;2011;67.96
J3Z;2011;61.08
J4Z;2011;58.66
J5Z;2011;79.69
J6Z;2011;29.25
K0Z;2011;77.95
L0Z;2011;67.13
L1Z;2011;57.59
L2Z;2011;82.72
L3Z;2011;52.37
L4Z;2011;55.22
L5Z;2011;30.21
L6Z;2011;21.16
M0Z;2011;70.64
M1Z;2011;42.42
M2Z;2011;12.36
N0Z;2011;30.01
P0Z;2011;75.53
P1Z;2011;72.98
P2Z;2011;72.49
P3Z;2011;21.29
P4Z;2011;71.55
Q0Z;2011;73.74
Q1Z;2011;48.18
Q2Z;2011;18.03
R0Z;2011;86.8
R1Z;2011;76.2
R2Z;2011;29.25
R3Z;2011;65.59
R4Z;2011;17.77
S0Z;2011;70.79
S1Z;2011;63.63
S2Z;2011;78.58
S3Z;2011;27.76
T0Z;2011;69.25
T1Z;2011;68.07
T2A;2011;82.57
T2B;2011;69.32
T3Z;2011;72.39
T4Z;2011;90.08
T6Z;2011;85.85
U0Z;2011;80.71
U1Z;2011;99.04
V0Z;2011;94.34
V1Z;2011;90.04
V2Z;2011;83.55
V3Z;2011;70.31
V4Z;2011;88.22
V5Z;2011;92.32
W0Z;2011;84.91
W1Z;2011;91.23
X0Z;2011;53.17
ZZZ;2011;71.11
A0Z;2012;94.99
A1Z;2012;96.93
A2Z;2012;70.35
A3Z;2012;94.64
B0Z;2012;80.34
B1Z;2012;50.54
B2Z;2012;57.03
B3Z;2012;86.04
B4Z;2012;65.3
B5Z;2012;42.72
B6Z;2012;45.94
B7Z;2012;28.14
C0Z;2012;90.88
C1Z;2012;63.6
C2Z;2012;44.94
D0Z;2012;80.08
D1Z;2012;54.45
D2Z;2012;65.81
D3Z;2012;79.66
D4Z;2012;56.36
D6Z;2012;46.52
E0Z;2012;91.44
E1Z;2012;78.24
E2Z;2012;57.96
Ensemble;2012;82.37
F0Z;2012;91.12
F1Z;2012;80.97
F2Z;2012;78.49
F3Z;2012;66.34
F4Z;2012;86.56
F5Z;2012;56.38
G0A;2012;73.35
G0B;2012;47.96
G1Z;2012;55.14
H0Z;2012;24.3
J0Z;2012;89.18
J1Z;2012;68.45
J3Z;2012;68.1
J4Z;2012;60.73
J5Z;2012;81.59
J6Z;2012;28.49
K0Z;2012;77.31
L0Z;2012;69.33
L1Z;2012;60.87
L2Z;2012;86.08
L3Z;2012;54.11
L4Z;2012;58.28
L5Z;2012;30.06
L6Z;2012;29.53
M0Z;2012;73.09
M1Z;2012;45.41
M2Z;2012;14.61
N0Z;2012;31.22
P0Z;2012;77.99
P1Z;2012;76.98
P2Z;2012;62.83
P3Z;2012;78.5
P4Z;2012;52.75
Q0Z;2012;76.67
Q1Z;2012;44.98
Q2Z;2012;18.53
R0Z;2012;87.43
R1Z;2012;79.85
R2Z;2012;25.53
R3Z;2012;66.92
R4Z;2012;21.96
S0Z;2012;72.56
S1Z;2012;70.07
S2Z;2012;80.93
S3Z;2012;28.18
T0Z;2012;70.77
T1Z;2012;62.99
T2A;2012;81.03
T2B;2012;63
T3Z;2012;69.79
T4Z;2012;90.82
T6Z;2012;84.46
U0Z;2012;82.33
U1Z;2012;98.88
V0Z;2012;95.07
V1Z;2012;91.69
V2Z;2012;81.36
V3Z;2012;72.15
V4Z;2012;90.71
V5Z;2012;95.07
W0Z;2012;88.92
W1Z;2012;92.68
X0Z;2012;63.85
ZZZ;2012;78.09
A0Z;2013;96.9
A1Z;2013;96.24
A2Z;2013;67.05
A3Z;2013;89.77
B0Z;2013;79.55
B1Z;2013;50.69
B2Z;2013;63.84
B3Z;2013;84.58
B4Z;2013;66.25
B5Z;2013;48.78
B6Z;2013;48.53
B7Z;2013;41.06
C0Z;2013;91.47
C1Z;2013;71.46
C2Z;2013;46.03
D0Z;2013;78
D1Z;2013;56.12
D2Z;2013;55.71
D3Z;2013;80.61
D4Z;2013;52.44
D6Z;2013;45.36
E0Z;2013;92.19
E1Z;2013;75.39
E2Z;2013;56.66
Ensemble;2013;83.99
F0Z;2013;84.23
F1Z;2013;75.5
F2Z;2013;85.19
F3Z;2013;66.6
F4Z;2013;82.5
F5Z;2013;64.64
G0A;2013;74.96
G0B;2013;44.18
G1Z;2013;59.17
H0Z;2013;25.72
J0Z;2013;91.97
J1Z;2013;75.1
J3Z;2013;65.67
J4Z;2013;63.53
J5Z;2013;85.9
J6Z;2013;30
K0Z;2013;76.17
L0Z;2013;78.02
L1Z;2013;64.06
L2Z;2013;88.3
L3Z;2013;52.66
L4Z;2013;60.38
L5Z;2013;32.78
L6Z;2013;23.74
M0Z;2013;73.6
M1Z;2013;47.02
M2Z;2013;14.26
N0Z;2013;34.13
P0Z;2013;68.69
P1Z;2013;78.7
P2Z;2013;78.56
P3Z;2013;51.59
P4Z;2013;77.99
Q0Z;2013;77.41
Q1Z;2013;56.56
Q2Z;2013;22.56
R0Z;2013;86.96
R1Z;2013;78.6
R2Z;2013;25.3
R3Z;2013;78.58
R4Z;2013;22.04
S0Z;2013;72.94
S1Z;2013;68.96
S2Z;2013;81.12
S3Z;2013;25
T0Z;2013;65.89
T1Z;2013;75.87
T2A;2013;82.17
T2B;2013;72.61
T3Z;2013;76.3
T4Z;2013;92.03
T6Z;2013;89.41
U0Z;2013;83.65
U1Z;2013;99.26
V0Z;2013;95.88
V1Z;2013;93.66
V2Z;2013;83.23
V3Z;2013;73.92
V4Z;2013;90.28
V5Z;2013;92.82
W0Z;2013;87.99
W1Z;2013;94.22
X0Z;2013;12.06
ZZZ;2013;70.72
A0Z;2014;94.36
A1Z;2014;97.17
A2Z;2014;61.54
A3Z;2014;74.56
B0Z;2014;82.38
B1Z;2014;48.78
B2Z;2014;63.26
B3Z;2014;83.3
B4Z;2014;70.99
B5Z;2014;48.74
B6Z;2014;45.17
B7Z;2014;35.03
C0Z;2014;90.39
C1Z;2014;69.24
C2Z;2014;54.34
D0Z;2014;78.42
D1Z;2014;53.19
D2Z;2014;60.22
D3Z;2014;81.17
D4Z;2014;54.25
D6Z;2014;42.52
E0Z;2014;91.46
E1Z;2014;76.83
E2Z;2014;59.13
Ensemble;2014;85.2
F0Z;2014;86.55
F1Z;2014;81.93
F2Z;2014;77.4
F3Z;2014;67.74
F4Z;2014;84.44
F5Z;2014;50.53
G0A;2014;76.97
G0B;2014;45.88
G1Z;2014;67.13
H0Z;2014;28.4
J0Z;2014;90.95
J1Z;2014;71.67
J3Z;2014;65.25
J4Z;2014;71.2
J5Z;2014;85.69
J6Z;2014;61.43
K0Z;2014;80.46
L0Z;2014;72.73
L1Z;2014;62.66
L2Z;2014;86.97
L3Z;2014;55.33
L4Z;2014;57.84
L5Z;2014;32.86
L6Z;2014;29.96
M0Z;2014;69.97
M1Z;2014;47.5
M2Z;2014;14.44
N0Z;2014;29.7
P0Z;2014;79.43
P1Z;2014;73.03
P2Z;2014;69.26
P3Z;2014;49.58
P4Z;2014;82.86
Q0Z;2014;80.62
Q1Z;2014;51.88
Q2Z;2014;21.82
R0Z;2014;88.4
R1Z;2014;80.75
R2Z;2014;30.73
R3Z;2014;79.68
R4Z;2014;23.08
S0Z;2014;71.54
S1Z;2014;71.03
S2Z;2014;84.36
S3Z;2014;22.32
T0Z;2014;77.15
T1Z;2014;91.25
T2A;2014;86.1
T2B;2014;74.2
T3Z;2014;79.47
T4Z;2014;93.36
T6Z;2014;91.36
U0Z;2014;83.46
U1Z;2014;99.59
V0Z;2014;96.74
V1Z;2014;95.13
V2Z;2014;83.8
V3Z;2014;77.43
V4Z;2014;91.54
V5Z;2014;92.69
W0Z;2014;90.07
W1Z;2014;95.3
X0Z;2014;23.09
ZZZ;2014;77.17
