"Fap3","rep_tps_partiel","annee","effectif","pourcentage","part"
"L2Z",1,"2010-2012",102.12,0.261189830681876,26.1189830681876
"L3Z",1,"2010-2012",31.35,0.189551968075458,18.9551968075458
"L4Z",1,"2010-2012",49.22,0.129366310090152,12.9366310090152
"L5Z",1,"2010-2012",58.93,0.0931905876399519,9.31905876399519
"L6Z",1,"2010-2012",5.03,0.0300675473728256,3.00675473728256
"M0Z",1,"2010-2012",5.39,0.138489208633094,13.8489208633094
"M1Z",1,"2010-2012",9.75,0.0604688662862813,6.04688662862813
"M2Z",1,"2010-2012",17.61,0.0496573893917604,4.96573893917604
"N0Z",1,"2010-2012",20.85,0.0567192600652884,5.67192600652884
"P0Z",1,"2010-2012",181.47,0.224694476431039,22.4694476431039
"P1Z",1,"2010-2012",69.64,0.170857970018892,17.0857970018892
"P2Z",1,"2010-2012",42.02,0.0908658420551855,9.08658420551855
"P3Z",1,"2010-2012",6.18,0.0663731070776501,6.63731070776501
"P4Z",1,"2010-2012",5.49,0.0140790890906293,1.40790890906293
"Q0Z",1,"2010-2012",46,0.172964843015604,17.2964843015604
"Q1Z",1,"2010-2012",25.96,0.132367937997145,13.2367937997145
"Q2Z",1,"2010-2012",12.71,0.0445761582436082,4.45761582436082
"R0Z",1,"2010-2012",125.61,0.425479303570219,42.5479303570219
"R1Z",1,"2010-2012",241.66,0.292269362875526,29.2269362875526
"R2Z",1,"2010-2012",57.06,0.107786467188031,10.7786467188031
"R3Z",1,"2010-2012",55.72,0.0957289626498986,9.57289626498986
"R4Z",1,"2010-2012",18.9,0.0360068584492284,3.60068584492284
"S0Z",1,"2010-2012",13.27,0.0544969199178645,5.44969199178645
"S1Z",1,"2010-2012",79.76,0.226237413132889,22.6237413132889
"S2Z",1,"2010-2012",139.48,0.357439393162831,35.7439393162831
"S3Z",1,"2010-2012",15.45,0.0711850350165868,7.11850350165868
"T0Z",1,"2010-2012",60.83,0.264570285316632,26.4570285316632
"T1Z",1,"2010-2012",190.83,0.782699643164759,78.2699643164759
"T2A",1,"2010-2012",381.11,0.69635842058141,69.635842058141
"T2B",1,"2010-2012",153.5,0.333188626003907,33.3188626003907
"T2Z",1,"2010-2012",534.62,0.530371722502753,53.0371722502753
"T3Z",1,"2010-2012",27.23,0.140375296422312,14.0375296422312
"T4Z",1,"2010-2012",493.24,0.392148132836165,39.2148132836165
"T6Z",1,"2010-2012",29.61,0.201648052301825,20.1648052301825
"U0Z",1,"2010-2012",34.17,0.20295794725588,20.295794725588
"U1Z",1,"2010-2012",111.34,0.291893875838926,29.1893875838926
"V0Z",1,"2010-2012",135.46,0.236847166611299,23.6847166611299
"V1Z",1,"2010-2012",125.23,0.233598836016341,23.3598836016341
"V2Z",1,"2010-2012",80.9,0.214936634873403,21.4936634873403
"V3Z",1,"2010-2012",108.61,0.274295383372058,27.4295383372058
"V4Z",1,"2010-2012",71.27,0.225188789535214,22.5188789535214
"V5Z",1,"2010-2012",164.19,0.451791315832921,45.1791315832921
"W0Z",1,"2010-2012",146.66,0.141645740776511,14.1645740776511
"W1Z",1,"2010-2012",50.82,0.365191146881288,36.5191146881288
"X0Z",1,"2010-2012",12.85,0.451035451035451,45.1035451035451
"ZZZ",1,"2010-2012",6.32,0.984423676012461,98.4423676012461
"A0Z",1,"2011-2013",66.9,0.123751387347392,12.3751387347392
"A1Z",1,"2011-2013",58.45,0.179454115624328,17.9454115624328
"A2Z",1,"2011-2013",5.84,0.0907536907536908,9.07536907536908
"A3Z",1,"2011-2013",4.12,0.124059018367961,12.4059018367961
"B0Z",1,"2011-2013",11.11,0.0561735261401557,5.61735261401557
"B1Z",1,"2011-2013",2.68,0.0265609514370664,2.65609514370664
"B2Z",1,"2011-2013",12.74,0.0328782678262665,3.28782678262665
"B3Z",1,"2011-2013",15.44,0.112348104489558,11.2348104489558
"B4Z",1,"2011-2013",25,0.0465844296202437,4.65844296202437
"B5Z",1,"2011-2013",0.84,0.0106585458698135,1.06585458698135
"B6Z",1,"2011-2013",14.5,0.0487067517635203,4.87067517635203
"B7Z",1,"2011-2013",7.62,0.0486869848571976,4.86869848571976
"C0Z",1,"2011-2013",2.15,0.0654290931223372,6.54290931223372
"C1Z",1,"2011-2013",2.49,0.0464465584778959,4.64465584778959
"C2Z",1,"2011-2013",4.17,0.0294429146367295,2.94429146367295
"D0Z",1,"2011-2013",2.06,0.0472802386963507,4.72802386963507
"D1Z",1,"2011-2013",2.39,0.0236633663366337,2.36633663366337
"D2Z",1,"2011-2013",4.03,0.0267365487958602,2.67365487958602
"D3Z",1,"2011-2013",9.58,0.0607598148030697,6.07598148030697
"D4Z",1,"2011-2013",4.27,0.0294726670347874,2.94726670347874
"D6Z",1,"2011-2013",6.85,0.0296357186120966,2.96357186120966
"E0Z",1,"2011-2013",16.31,0.0802065404475043,8.02065404475043
"E1Z",1,"2011-2013",25.39,0.0832295286173212,8.32295286173212
"E2Z",1,"2011-2013",9.63,0.0423706441393875,4.23706441393875
"ENS",1,"2011-2013",4673.1,0.181218516234862,18.1218516234862
"F0Z",1,"2011-2013",1.71,0.0824493731918997,8.24493731918997
"F1Z",1,"2011-2013",7.19,0.112908291457286,11.2908291457286
"F2Z",1,"2011-2013",1.13,0.0361368724016629,3.61368724016629
"F3Z",1,"2011-2013",3.13,0.0325499168053245,3.25499168053245
"F4Z",1,"2011-2013",3.51,0.0639344262295082,6.39344262295082
"F5Z",1,"2011-2013",1.17,0.0375360923965351,3.75360923965351
"G0A",1,"2011-2013",9.46,0.047556806756485,4.7556806756485
"G0B",1,"2011-2013",7.12,0.0388752388752389,3.88752388752389
"G1Z",1,"2011-2013",20.44,0.0458913336326897,4.58913336326897
"H0Z",1,"2011-2013",11.85,0.045148016916219,4.5148016916219
"J0Z",1,"2011-2013",47.76,0.135220838052095,13.5220838052095
"J1Z",1,"2011-2013",15.23,0.0341548743019892,3.41548743019892
"J3Z",1,"2011-2013",90.34,0.119189920179431,11.9189920179431
"J4Z",1,"2011-2013",4.77,0.0456984096570224,4.56984096570224
"J5Z",1,"2011-2013",28.42,0.146231026498585,14.6231026498585
"J6Z",1,"2011-2013",4.81,0.0543933054393305,5.43933054393305
"K0Z",1,"2011-2013",19.99,0.172834169116376,17.2834169116376
"L0Z",1,"2011-2013",137,0.318153317386963,31.8153317386963
"L1Z",1,"2011-2013",86.65,0.27382758184806,27.382758184806
"L2Z",1,"2011-2013",101.03,0.267572434980666,26.7572434980666
"L3Z",1,"2011-2013",34.05,0.210405981585615,21.0405981585615
"L4Z",1,"2011-2013",54.78,0.138929748922141,13.8929748922141
"L5Z",1,"2011-2013",60.57,0.0942283758556316,9.42283758556316
"L6Z",1,"2011-2013",5.07,0.0328538102643857,3.28538102643857
"M0Z",1,"2011-2013",5.23,0.135351966873706,13.5351966873706
"M1Z",1,"2011-2013",12.95,0.0779228593778206,7.79228593778206
"M2Z",1,"2011-2013",18.84,0.0526154103946156,5.26154103946156
"N0Z",1,"2011-2013",23.77,0.0621925693354265,6.21925693354265
"P0Z",1,"2011-2013",170.03,0.221814908550108,22.1814908550108
"P1Z",1,"2011-2013",70.84,0.170678231538369,17.0678231538369
"P2Z",1,"2011-2013",45.3,0.0986691642525756,9.86691642525756
"P3Z",1,"2011-2013",7.09,0.0732286717620326,7.32286717620326
"P4Z",1,"2011-2013",5.48,0.0140451598021375,1.40451598021375
"Q0Z",1,"2011-2013",46.64,0.178861788617886,17.8861788617886
"Q1Z",1,"2011-2013",27.87,0.144194950331126,14.4194950331126
"Q2Z",1,"2011-2013",14.9,0.0535316519364806,5.35316519364806
"R0Z",1,"2011-2013",123.54,0.421336243647897,42.1336243647897
"R1Z",1,"2011-2013",238.37,0.2887968112044,28.87968112044
"R2Z",1,"2011-2013",59.29,0.113632443413765,11.3632443413765
"R3Z",1,"2011-2013",58.15,0.104575045858361,10.4575045858361
"R4Z",1,"2011-2013",18.43,0.0347552236554273,3.47552236554273
"S0Z",1,"2011-2013",15.11,0.0627648085071031,6.27648085071031
"S1Z",1,"2011-2013",80.82,0.222822640677125,22.2822640677125
"S2Z",1,"2011-2013",138.3,0.35786368576308,35.786368576308
"S3Z",1,"2011-2013",15.53,0.0727025888301109,7.27025888301109
"T0Z",1,"2011-2013",55.32,0.250907111756168,25.0907111756168
"T1Z",1,"2011-2013",185.08,0.79600877381618,79.600877381618
"T2A",1,"2011-2013",379.68,0.702421697223096,70.2421697223096
"T2B",1,"2011-2013",154.93,0.333879275046872,33.3879275046872
"T2Z",1,"2011-2013",534.62,0.5321879012911,53.21879012911
"T3Z",1,"2011-2013",29.2,0.141370128298233,14.1370128298233
"T4Z",1,"2011-2013",497.26,0.392470402525651,39.2470402525651
"T6Z",1,"2011-2013",28.81,0.200041660880433,20.0041660880433
"U0Z",1,"2011-2013",34.4,0.204021113812941,20.4021113812941
"U1Z",1,"2011-2013",116.66,0.295993707659909,29.5993707659909
"V0Z",1,"2011-2013",138.16,0.234874113867025,23.4874113867025
"V1Z",1,"2011-2013",134.33,0.247316579213845,24.7316579213845
"V2Z",1,"2011-2013",80.71,0.212994484469427,21.2994484469427
"V3Z",1,"2011-2013",110.34,0.265004683334534,26.5004683334534
"V4Z",1,"2011-2013",73.89,0.230589189863937,23.0589189863937
"V5Z",1,"2011-2013",161.26,0.443509350935093,44.3509350935093
"W0Z",1,"2011-2013",155.76,0.149041221724653,14.9041221724653
"W1Z",1,"2011-2013",51.82,0.369773084058798,36.9773084058798
"X0Z",1,"2011-2013",13.42,0.449581239530988,44.9581239530988
"ZZZ",1,"2011-2013",3.88,0.315703824247356,31.5703824247356
"A0Z",1,"2012-2014",63.41,0.118625360122722,11.8625360122722
"A1Z",1,"2012-2014",55.88,0.171305947271613,17.1305947271613
"A2Z",1,"2012-2014",5.96,0.0882962962962963,8.82962962962963
"A3Z",1,"2012-2014",4.24,0.133501259445844,13.3501259445844
"B0Z",1,"2012-2014",11.22,0.0602513156481581,6.02513156481581
"B1Z",1,"2012-2014",3.12,0.0335989661856558,3.35989661856558
"B2Z",1,"2012-2014",15.36,0.0409174458563094,4.09174458563094
"B3Z",1,"2012-2014",15.95,0.116678858814923,11.6678858814923
"B4Z",1,"2012-2014",28.9,0.0545272730703194,5.45272730703194
"B5Z",1,"2012-2014",0.89,0.0112729575680811,1.12729575680811
"B6Z",1,"2012-2014",14.23,0.0474982476050602,4.74982476050602
"B7Z",1,"2012-2014",8.28,0.050592692166687,5.0592692166687
"C0Z",1,"2012-2014",3.07,0.0975222363405337,9.75222363405337
"C1Z",1,"2012-2014",1.66,0.0339746213671715,3.39746213671715
"C2Z",1,"2012-2014",3.62,0.0253076062639821,2.53076062639821
"D0Z",1,"2012-2014",1.99,0.0483009708737864,4.83009708737864
"D1Z",1,"2012-2014",2.11,0.0204596140793174,2.04596140793174
"D2Z",1,"2012-2014",4.38,0.0290335410314199,2.90335410314199
"D3Z",1,"2012-2014",9.71,0.0648111066613269,6.48111066613269
"D4Z",1,"2012-2014",3.84,0.0272185993762404,2.72185993762404
"D6Z",1,"2012-2014",6.66,0.0285812376620033,2.85812376620033
"E0Z",1,"2012-2014",15.24,0.0818167176679014,8.18167176679014
"E1Z",1,"2012-2014",24.44,0.0813311148086523,8.13311148086522
"E2Z",1,"2012-2014",9.2,0.0386408500987022,3.86408500987022
"ENS",1,"2012-2014",4762.3,0.184575970978207,18.4575970978207
"F0Z",1,"2012-2014",1.25,0.0597228858098423,5.97228858098423
"F1Z",1,"2012-2014",8.76,0.133536585365854,13.3536585365854
"F2Z",1,"2012-2014",1.63,0.054956169925826,5.4956169925826
"F3Z",1,"2012-2014",4.56,0.0481266490765171,4.81266490765171
"F4Z",1,"2012-2014",3.73,0.0662875422072152,6.62875422072152
"F5Z",1,"2012-2014",1.33,0.042779028626568,4.2779028626568
"G0A",1,"2012-2014",8.39,0.0434175119022977,4.34175119022977
"G0B",1,"2012-2014",8.38,0.0464471788050105,4.64471788050105
"G1Z",1,"2012-2014",23.6,0.0506698728959121,5.06698728959121
"H0Z",1,"2012-2014",13.82,0.0504434792130525,5.04434792130525
"J0Z",1,"2012-2014",45.8,0.128456835137712,12.8456835137712
"J1Z",1,"2012-2014",17.41,0.0378815901129267,3.78815901129267
"J3Z",1,"2012-2014",97.73,0.126377178916878,12.6377178916878
"J4Z",1,"2012-2014",6.06,0.0541554959785523,5.41554959785523
"J5Z",1,"2012-2014",27.69,0.140444309190505,14.0444309190505
"J6Z",1,"2012-2014",5.3,0.060982625704752,6.0982625704752
"K0Z",1,"2012-2014",18.45,0.172591206735267,17.2591206735267
"L0Z",1,"2012-2014",134.26,0.311710624071322,31.1710624071322
"L1Z",1,"2012-2014",83.88,0.265855281924503,26.5855281924503
"L2Z",1,"2012-2014",98.84,0.266393553081961,26.6393553081961
"L3Z",1,"2012-2014",31.8,0.199548192771084,19.9548192771084
"L4Z",1,"2012-2014",56.31,0.14217542796546,14.217542796546
"L5Z",1,"2012-2014",63.55,0.0998460281548517,9.98460281548517
"L6Z",1,"2012-2014",8.17,0.0538172715894869,5.38172715894869
"M0Z",1,"2012-2014",5.45,0.152447552447552,15.2447552447552
"M1Z",1,"2012-2014",12.98,0.0789681815416439,7.89681815416439
"M2Z",1,"2012-2014",18.17,0.0511903084941541,5.11903084941541
"N0Z",1,"2012-2014",27.88,0.0727329646248565,7.27329646248565
"P0Z",1,"2012-2014",173.89,0.228031524974756,22.8031524974756
"P1Z",1,"2012-2014",73.58,0.17957729291746,17.957729291746
"P2Z",1,"2012-2014",44.9,0.100200848024994,10.0200848024994
"P3Z",1,"2012-2014",7.31,0.0812764064932177,8.12764064932177
"P4Z",1,"2012-2014",7.31,0.0192211616838895,1.92211616838895
"Q0Z",1,"2012-2014",45.43,0.179913666785474,17.9913666785474
"Q1Z",1,"2012-2014",30.12,0.156989471489628,15.6989471489628
"Q2Z",1,"2012-2014",16.72,0.0635161829509193,6.35161829509193
"R0Z",1,"2012-2014",127.57,0.433483978388664,43.3483978388664
"R1Z",1,"2012-2014",237.19,0.28276289593839,28.276289593839
"R2Z",1,"2012-2014",58.73,0.112223644736591,11.2223644736591
"R3Z",1,"2012-2014",62.97,0.115097788338512,11.5097788338512
"R4Z",1,"2012-2014",21.86,0.0410339196215719,4.10339196215719
"S0Z",1,"2012-2014",15.12,0.0628716370743066,6.28716370743066
"S1Z",1,"2012-2014",81.51,0.22402088772846,22.402088772846
"S2Z",1,"2012-2014",136.99,0.368976755460985,36.8976755460985
"S3Z",1,"2012-2014",14,0.0657462195923734,6.57462195923734
"T0Z",1,"2012-2014",48.95,0.23330632477003,23.330632477003
"T1Z",1,"2012-2014",179.12,0.803372802296376,80.3372802296376
"T2A",1,"2012-2014",384.35,0.715948886074063,71.5948886074063
"T2B",1,"2012-2014",155.84,0.333219295244612,33.3219295244612
"T2Z",1,"2012-2014",540.19,0.537759327838171,53.7759327838171
"T3Z",1,"2012-2014",33,0.150075037518759,15.0075037518759
"T4Z",1,"2012-2014",510.66,0.397388408142937,39.7388408142937
"T6Z",1,"2012-2014",28.4,0.196894065446478,19.6894065446478
"U0Z",1,"2012-2014",32.71,0.207708915417831,20.7708915417831
"U1Z",1,"2012-2014",122.33,0.311899237653298,31.1899237653298
"V0Z",1,"2012-2014",136.16,0.22798586809102,22.798586809102
"V1Z",1,"2012-2014",143.69,0.25333215796897,25.333215796897
"V2Z",1,"2012-2014",83.18,0.217737291241296,21.7737291241296
"V3Z",1,"2012-2014",113.63,0.265180863477246,26.5180863477246
"V4Z",1,"2012-2014",75.78,0.234685661195417,23.4685661195417
"V5Z",1,"2012-2014",169.26,0.450051849291393,45.0051849291393
"W0Z",1,"2012-2014",166.66,0.157060464414958,15.7060464414958
"W1Z",1,"2012-2014",53.08,0.362989810572386,36.2989810572386
"X0Z",1,"2012-2014",12.36,0.413101604278075,41.3101604278075
"ZZZ",1,"2012-2014",9.39,0.256487298552308,25.6487298552308
"A0Z",1,"2013-2015",58.5,0.112206536750038,11.2206536750038
"A1Z",1,"2013-2015",52.06,0.162296972908938,16.2296972908938
"A2Z",1,"2013-2015",6.61,0.0975789784470032,9.75789784470032
"A3Z",1,"2013-2015",3.46,0.120055517002082,12.0055517002082
"B0Z",1,"2013-2015",13.22,0.0771700426128072,7.71700426128072
"B1Z",1,"2013-2015",2.87,0.0326062258577596,3.26062258577596
"B2Z",1,"2013-2015",16.53,0.0451355705431013,4.51355705431013
"B3Z",1,"2013-2015",16.28,0.12411374552108,12.411374552108
"B4Z",1,"2013-2015",32.03,0.0625121979780632,6.25121979780632
"B5Z",1,"2013-2015",0.91,0.0119344262295082,1.19344262295082
"B6Z",1,"2013-2015",15.8,0.0534144692359702,5.34144692359702
"B7Z",1,"2013-2015",8.16,0.05,5
"C0Z",1,"2013-2015",2.67,0.0953230988932524,9.53230988932524
"C1Z",1,"2013-2015",0.7,0.0146935348446683,1.46935348446683
"C2Z",1,"2013-2015",2.76,0.0201342281879195,2.01342281879195
"D0Z",1,"2013-2015",2.63,0.0639125151883354,6.39125151883353
"D1Z",1,"2013-2015",1.74,0.0169524551831645,1.69524551831645
"D2Z",1,"2013-2015",4.31,0.0294902497434143,2.94902497434143
"D3Z",1,"2013-2015",9.81,0.0663644973616561,6.63644973616561
"D4Z",1,"2013-2015",3.4,0.0246394666280165,2.46394666280165
"D6Z",1,"2013-2015",7.34,0.0305999082836536,3.05999082836536
"E0Z",1,"2013-2015",15.66,0.0859353564177139,8.59353564177139
"E1Z",1,"2013-2015",24.53,0.0832174237541134,8.32174237541134
"E2Z",1,"2013-2015",10.33,0.0439742880252011,4.39742880252011
"ENS",1,"2013-2015",4833.2,0.187230284107197,18.7230284107197
"F0Z",1,"2013-2015",2.45,0.106940200785683,10.6940200785683
"F1Z",1,"2013-2015",9.67,0.149759950441381,14.9759950441381
"F2Z",1,"2013-2015",1.91,0.0732924021488872,7.32924021488872
"F3Z",1,"2013-2015",4.99,0.0536674553667455,5.36674553667455
"F4Z",1,"2013-2015",4.4,0.0733577859286429,7.33577859286429
"F5Z",1,"2013-2015",1.51,0.0464186904395942,4.64186904395942
"G0A",1,"2013-2015",8.3,0.0419001463981019,4.19001463981019
"G0B",1,"2013-2015",8.91,0.0516372066067807,5.16372066067806
"G1Z",1,"2013-2015",25.46,0.0536022569371342,5.36022569371342
"H0Z",1,"2013-2015",14.5,0.0507383301840577,5.07383301840577
"J0Z",1,"2013-2015",46.88,0.128716949012932,12.8716949012932
"J1Z",1,"2013-2015",22.45,0.0475393867524987,4.75393867524987
"J3Z",1,"2013-2015",102.14,0.128329480349784,12.8329480349784
"J4Z",1,"2013-2015",7.2,0.0608056751963517,6.08056751963517
"J5Z",1,"2013-2015",31.42,0.1649343832021,16.49343832021
"J6Z",1,"2013-2015",5.24,0.0609514947074561,6.09514947074561
"K0Z",1,"2013-2015",17.24,0.166088631984586,16.6088631984586
"L0Z",1,"2013-2015",130.96,0.304459013344493,30.4459013344493
"L1Z",1,"2013-2015",81.12,0.260033337607386,26.0033337607386
"L2Z",1,"2013-2015",93.72,0.258117822027596,25.8117822027596
"L3Z",1,"2013-2015",29.06,0.18429731100964,18.429731100964
"L4Z",1,"2013-2015",60.26,0.149788714889386,14.9788714889386
"L5Z",1,"2013-2015",64.85,0.103098519896345,10.3098519896345
"L6Z",1,"2013-2015",8.85,0.0568072405160793,5.68072405160793
"M0Z",1,"2013-2015",5.64,0.15359477124183,15.359477124183
"M1Z",1,"2013-2015",12.75,0.0792910447761194,7.92910447761194
"M2Z",1,"2013-2015",15.54,0.0443290734824281,4.43290734824281
"N0Z",1,"2013-2015",31.81,0.081929634780817,8.1929634780817
"P0Z",1,"2013-2015",173.47,0.233142933942611,23.3142933942611
"P1Z",1,"2013-2015",76.15,0.186035716903232,18.6035716903232
"P2Z",1,"2013-2015",45.78,0.102466538341018,10.2466538341018
"P3Z",1,"2013-2015",7.48,0.0886150929984599,8.86150929984599
"P4Z",1,"2013-2015",8.87,0.0234998012981852,2.34998012981852
"Q0Z",1,"2013-2015",45.25,0.170568057597346,17.0568057597346
"Q1Z",1,"2013-2015",32.75,0.173372154579142,17.3372154579142
"Q2Z",1,"2013-2015",17.52,0.069268176965959,6.9268176965959
"R0Z",1,"2013-2015",135.29,0.442109734975981,44.2109734975981
"R1Z",1,"2013-2015",235.84,0.279160057763784,27.9160057763784
"R2Z",1,"2013-2015",59.15,0.113071570576541,11.3071570576541
"R3Z",1,"2013-2015",64.13,0.119229553609608,11.9229553609608
"R4Z",1,"2013-2015",25.58,0.0458760020803816,4.58760020803816
"S0Z",1,"2013-2015",13.82,0.0557842899814322,5.57842899814321
"S1Z",1,"2013-2015",83.37,0.228304625243037,22.8304625243037
"S2Z",1,"2013-2015",138.56,0.381329810656099,38.1329810656099
"S3Z",1,"2013-2015",13.75,0.0638851461227524,6.38851461227524
"T0Z",1,"2013-2015",45.03,0.220529898623831,22.0529898623831
"T1Z",1,"2013-2015",160.02,0.794143920595534,79.4143920595534
"T2A",1,"2013-2015",385.55,0.716662329454627,71.6662329454627
"T2B",1,"2013-2015",155.58,0.3382688670015,33.82688670015
"T2Z",1,"2013-2015",541.13,0.542263330360453,54.2263330360453
"T3Z",1,"2013-2015",34.04,0.147193634869843,14.7193634869843
"T4Z",1,"2013-2015",523.29,0.406659931613304,40.6659931613304
"T6Z",1,"2013-2015",31.01,0.208302545845368,20.8302545845368
"U0Z",1,"2013-2015",31.85,0.205152979066023,20.5152979066023
"U1Z",1,"2013-2015",124.1,0.319047741471065,31.9047741471065
"V0Z",1,"2013-2015",139.1,0.228820529692384,22.8820529692384
"V1Z",1,"2013-2015",149.13,0.252779849481321,25.2779849481321
"V2Z",1,"2013-2015",83.26,0.221524544366104,22.1524544366104
"V3Z",1,"2013-2015",116.96,0.26919535997054,26.919535997054
"V4Z",1,"2013-2015",76.99,0.236797588656845,23.6797588656845
"V5Z",1,"2013-2015",189.24,0.46765185587901,46.765185587901
"W0Z",1,"2013-2015",164.53,0.154996184680314,15.4996184680314
"W1Z",1,"2013-2015",58.16,0.397865645095088,39.7865645095088
"X0Z",1,"2013-2015",12.97,0.408118313404657,40.8118313404657
"ZZZ",1,"2013-2015",14.14,0.231386025200458,23.1386025200458
"A0Z",1,"2014-2016",56.55,0.112831461122528,11.2831461122528
"A1Z",1,"2014-2016",51.46,0.15909723295718,15.909723295718
"A2Z",1,"2014-2016",7,0.102835316585868,10.2835316585867
"A3Z",1,"2014-2016",4.01,0.148794063079777,14.8794063079777
"B0Z",1,"2014-2016",13.99,0.084618641504869,8.4618641504869
"B1Z",1,"2014-2016",3.38,0.0391248987151291,3.91248987151291
"B2Z",1,"2014-2016",16.46,0.0470352907558223,4.70352907558223
"B3Z",1,"2014-2016",17.25,0.139281388776746,13.9281388776746
"B4Z",1,"2014-2016",36.02,0.0710930406979039,7.10930406979039
"B5Z",1,"2014-2016",0.87,0.0119439868204283,1.19439868204283
"B6Z",1,"2014-2016",15.88,0.0558584543951599,5.58584543951599
"B7Z",1,"2014-2016",8.34,0.0518882598145959,5.18882598145959
"C0Z",1,"2014-2016",1.86,0.0763546798029557,7.63546798029557
"C1Z",1,"2014-2016",0.7,0.0151679306608884,1.51679306608884
"C2Z",1,"2014-2016",2.38,0.0193621867881549,1.93621867881549
"D0Z",1,"2014-2016",2.57,0.0580922242314647,5.80922242314647
"D1Z",1,"2014-2016",1.77,0.0169377990430622,1.69377990430622
"D2Z",1,"2014-2016",4.57,0.0318511290772233,3.18511290772233
"D3Z",1,"2014-2016",7.58,0.0480050664977834,4.80050664977834
"D4Z",1,"2014-2016",3.82,0.0284713423268987,2.84713423268987
"D6Z",1,"2014-2016",7.44,0.0296426152436352,2.96426152436352
"E0Z",1,"2014-2016",13.55,0.0728964923606628,7.28964923606628
